레벨,경험치,표식
1,1000,0
2,400,0
3,420,0
4,440,0
5,460,0
6,480,0
7,520,0
8,560,0
9,600,0
10,640,6
11,680,0
12,720,0
13,760,0
14,800,0
15,840,0
16,880,0
17,920,0
18,960,0
19,1000,0
20,1040,12
21,1080,0
22,1120,0
23,1160,0
24,1200,0
25,1240,0
26,1260,0
27,1320,0
28,1260,0
29,1400,0
30,1460,18
31,1520,0
32,1580,0
33,1640,0
34,1700,0
35,1760,0
36,1820,0
37,1880,0
38,1940,0
39,2000,0
40,2080,24
41,2160,0
42,2240,0
43,2320,0
44,2400,0
45,2480,0
46,2560,0
47,2640,0
48,2720,0
49,2800,0
50,2900,30
51,3000,0
52,3100,0
53,3200,0
54,3300,0
55,3400,0
56,3500,0
57,3600,0
58,3700,0
59,3800,0
60,3900,36
61,4000,0
62,4100,0
63,4200,0
64,4300,0
65,4400,0
66,4500,0
67,4600,0
68,4700,0
69,4800,0
70,4900,42
71,5000,0
72,5100,0
73,5200,0
74,5300,0
75,5400,0
76,5500,0
77,5600,0
78,5700,0
79,5800,0
80,5900,48
81,6000,0
82,6100,0
83,6200,0
84,6300,0
85,6400,0
86,6500,0
87,6600,0
88,6700,0
89,6800,0
90,6900,54
91,7000,0
92,7100,0
93,7200,0
94,7300,0
95,7400,0
96,7500,0
97,7600,0
98,7700,0
99,7800,0
100,7900,60
