레벨,경험치,표식
Lv.1,1000,0
Lv.2,600,0
Lv.3,630,0
Lv.4,660,0
Lv.5,690,0
Lv.6,720,0
Lv.7,780,0
Lv.8,840,0
Lv.9,900,0
Lv.10,960,8
Lv.11,1020,0
Lv.12,1080,0
Lv.13,1140,0
Lv.14,1200,0
Lv.15,1260,0
Lv.16,1320,0
Lv.17,1380,0
Lv.18,1440,0
Lv.19,1500,0
Lv.20,1560,16
Lv.21,1620,0
Lv.22,1680,0
Lv.23,1740,0
Lv.24,1800,0
Lv.25,1860,0
Lv.26,1920,0
Lv.27,1980,0
Lv.28,2040,0
Lv.29,2100,0
Lv.30,2190,24
Lv.31,2280,0
Lv.32,2370,0
Lv.33,2460,0
Lv.34,2550,0
Lv.35,2640,0
Lv.36,2730,0
Lv.37,2820,0
Lv.38,2910,0
Lv.39,3000,0
Lv.40,3120,32
Lv.41,3240,0
Lv.42,3360,0
Lv.43,3480,0
Lv.44,3600,0
Lv.45,3720,0
Lv.46,3840,0
Lv.47,3960,0
Lv.48,4080,0
Lv.49,4200,0
Lv.50,4350,40
Lv.51,4500,0
Lv.52,4650,0
Lv.53,4800,0
Lv.54,4950,0
Lv.55,5100,0
Lv.56,5250,0
Lv.57,5400,0
Lv.58,5550,0
Lv.59,5700,0
Lv.60,5850,48
Lv.61,6000,0
Lv.62,6150,0
Lv.63,6300,0
Lv.64,6450,0
Lv.65,6600,0
Lv.66,6750,0
Lv.67,6900,0
Lv.68,7050,0
Lv.69,7200,0
Lv.70,7350,56
Lv.71,7500,0
Lv.72,7650,0
Lv.73,7800,0
Lv.74,7950,0
Lv.75,8100,0
Lv.76,8250,0
Lv.77,8400,0
Lv.78,8550,0
Lv.79,8700,0
Lv.80,8850,64
Lv.81,9000,0
Lv.82,9150,0
Lv.83,9300,0
Lv.84,9450,0
Lv.85,9600,0
Lv.86,9750,0
Lv.87,9900,0
Lv.88,10050,0
Lv.89,10200,0
Lv.90,10350,72
Lv.91,10500,0
Lv.92,10650,0
Lv.93,10800,0
Lv.94,10950,0
Lv.95,11100,0
Lv.96,11250,0
Lv.97,11400,0
Lv.98,11550,0
Lv.99,11700,0
Lv.100,11850,80
