레벨,경험치,표식
Lv.1,1000,0
Lv.2,1100,0
Lv.3,1160,0
Lv.4,1210,0
Lv.5,1270,0
Lv.6,1320,0
Lv.7,1430,0
Lv.8,1540,0
Lv.9,1650,0
Lv.10,1760,20
Lv.11,1870,0
Lv.12,1980,0
Lv.13,2090,0
Lv.14,2200,0
Lv.15,2310,0
Lv.16,2420,0
Lv.17,2530,0
Lv.18,2640,0
Lv.19,2750,0
Lv.20,2860,40
Lv.21,2970,0
Lv.22,3080,0
Lv.23,3190,0
Lv.24,3300,0
Lv.25,3410,0
Lv.26,3520,0
Lv.27,3630,0
Lv.28,3740,0
Lv.29,3850,0
Lv.30,4020,80
Lv.31,4180,0
Lv.32,4350,0
Lv.33,4510,0
Lv.34,4680,0
Lv.35,4840,0
Lv.36,5010,0
Lv.37,5170,0
Lv.38,5340,0
Lv.39,5500,0
Lv.40,5720,120
Lv.41,5940,0
Lv.42,6160,0
Lv.43,6380,0
Lv.44,6600,0
Lv.45,6820,0
Lv.46,7040,0
Lv.47,7260,0
Lv.48,7480,0
Lv.49,7700,0
Lv.50,7980,160
Lv.51,8250,0
Lv.52,8530,0
Lv.53,8800,0
Lv.54,9080,0
Lv.55,9350,0
Lv.56,9630,0
Lv.57,9900,0
Lv.58,10180,0
Lv.59,10450,0
Lv.60,10730,200
Lv.61,11000,0
Lv.62,11280,0
Lv.63,11550,0
Lv.64,11830,0
Lv.65,12100,0
Lv.66,12380,0
Lv.67,12650,0
Lv.68,12930,0
Lv.69,13200,0
Lv.70,13480,240
Lv.71,13750,0
Lv.72,14030,0
Lv.73,14300,0
Lv.74,14580,0
Lv.75,14850,0
Lv.76,15130,0
Lv.77,15400,0
Lv.78,15680,0
Lv.79,15950,0
Lv.80,16230,280
Lv.81,16500,0
Lv.82,16780,0
Lv.83,17050,0
Lv.84,17330,0
Lv.85,17600,0
Lv.86,17880,0
Lv.87,18150,0
Lv.88,18430,0
Lv.89,18700,0
Lv.90,18980,320
Lv.91,19250,0
Lv.92,19530,0
Lv.93,19800,0
Lv.94,20080,0
Lv.95,20350,0
Lv.96,20630,0
Lv.97,20900,0
Lv.98,21180,0
Lv.99,21450,0
Lv.100,21730,360
