레벨,경험치,표식
Lv.1,1000,0
Lv.2,1840,0
Lv.3,1940,0
Lv.4,2030,0
Lv.5,2120,0
Lv.6,2210,0
Lv.7,2400,0
Lv.8,2580,0
Lv.9,2760,0
Lv.10,2950,20
Lv.11,3130,0
Lv.12,3320,0
Lv.13,3500,0
Lv.14,3680,0
Lv.15,3870,0
Lv.16,4050,0
Lv.17,4240,0
Lv.18,4420,0
Lv.19,4600,0
Lv.20,4790,40
Lv.21,4970,0
Lv.22,5160,0
Lv.23,5340,0
Lv.24,5520,0
Lv.25,5710,0
Lv.26,5890,0
Lv.27,6080,0
Lv.28,6260,0
Lv.29,6440,0
Lv.30,6720,60
Lv.31,7000,0
Lv.32,7270,0
Lv.33,7550,0
Lv.34,7820,0
Lv.35,8100,0
Lv.36,8380,0
Lv.37,8650,0
Lv.38,8930,0
Lv.39,9200,0
Lv.40,9570,80
Lv.41,9940,0
Lv.42,10310,0
Lv.43,10680,0
Lv.44,11040,0
Lv.45,11410,0
Lv.46,11780,0
Lv.47,12150,0
Lv.48,12520,0
Lv.49,12880,0
Lv.50,13340,100
Lv.51,13800,0
Lv.52,14260,0
Lv.53,14720,0
Lv.54,15180,0
Lv.55,15640,0
Lv.56,16100,0
Lv.57,16560,0
Lv.58,17020,0
Lv.59,17480,0
Lv.60,17940,120
Lv.61,18400,0
Lv.62,18860,0
Lv.63,19320,0
Lv.64,19780,0
Lv.65,20240,0
Lv.66,20700,0
Lv.67,21160,0
Lv.68,21620,0
Lv.69,22080,0
Lv.70,22540,140
Lv.71,23000,0
Lv.72,23460,0
Lv.73,23920,0
Lv.74,24380,0
Lv.75,24840,0
Lv.76,25300,0
Lv.77,25760,0
Lv.78,26220,0
Lv.79,26680,0
Lv.80,27140,160
Lv.81,27600,0
Lv.82,28060,0
Lv.83,28520,0
Lv.84,28980,0
Lv.85,29440,0
Lv.86,29900,0
Lv.87,30360,0
Lv.88,30820,0
Lv.89,31280,0
Lv.90,31740,180
Lv.91,32200,0
Lv.92,32660,0
Lv.93,33120,0
Lv.94,33580,0
Lv.95,34040,0
Lv.96,34500,0
Lv.97,34960,0
Lv.98,34960,0
Lv.99,35880,0
Lv.100,36340,200
