레벨,펫먹이,조련매뉴얼,활력의약,강화혈청
Lv.1,0,0,0,0
Lv.2,200,0,0,0
Lv.3,220,0,0,0
Lv.4,240,0,0,0
Lv.5,260,0,0,0
Lv.6,280,0,0,0
Lv.7,300,0,0,0
Lv.8,320,0,0,0
Lv.9,340,0,0,0
Lv.10,370,0,0,0
Lv.10 (돌파),0,20,0,0
Lv.11,400,0,0,0
Lv.12,430,0,0,0
Lv.13,460,0,0,0
Lv.14,490,0,0,0
Lv.15,520,0,0,0
Lv.16,550,0,0,0
Lv.17,580,0,0,0
Lv.18,610,0,0,0
Lv.19,640,0,0,0
Lv.20,680,0,0,0
Lv.20 (돌파),0,40,0,0
Lv.21,720,0,0,0
Lv.22,760,0,0,0
Lv.23,800,0,0,0
Lv.24,840,0,0,0
Lv.25,880,0,0,0
Lv.26,920,0,0,0
Lv.27,960,0,0,0
Lv.28,1000,0,0,0
Lv.29,1040,0,0,0
Lv.30,1100,0,0,0
Lv.30 (돌파),0,60,10,0
Lv.31,1160,0,0,0
Lv.32,1220,0,0,0
Lv.33,1280,0,0,0
Lv.34,1340,0,0,0
Lv.35,1400,0,0,0
Lv.36,1460,0,0,0
Lv.37,1520,0,0,0
Lv.38,1580,0,0,0
Lv.39,1640,0,0,0
Lv.40,1720,0,0,0
Lv.40 (돌파),0,90,20,0
Lv.41,1800,0,0,0
Lv.42,1880,0,0,0
Lv.43,1960,0,0,0
Lv.44,2040,0,0,0
Lv.45,2120,0,0,0
Lv.46,2200,0,0,0
Lv.47,2280,0,0,0
Lv.48,2360,0,0,0
Lv.49,2440,0,0,0
Lv.50,2540,0,0,0
Lv.50 (돌파),0,130,30,10
Lv.51,2640,0,0,0
Lv.52,2740,0,0,0
Lv.53,2840,0,0,0
Lv.54,2940,0,0,0
Lv.55,3040,0,0,0
Lv.56,3140,0,0,0
Lv.57,3240,0,0,0
Lv.58,3340,0,0,0
Lv.59,3440,0,0,0
Lv.60,3560,0,0,0
Lv.60 (돌파),0,175,50,20
