레벨,펫먹이,조련매뉴얼,활력의약,강화혈청
Lv.1,0,0,0,0
Lv.2,300,0,0,0
Lv.3,330,0,0,0
Lv.4,360,0,0,0
Lv.5,390,0,0,0
Lv.6,420,0,0,0
Lv.7,450,0,0,0
Lv.8,480,0,0,0
Lv.9,510,0,0,0
Lv.10,555,0,0,0
Lv.10 (돌파),0,25,0,0
Lv.11,600,0,0,0
Lv.12,645,0,0,0
Lv.13,690,0,0,0
Lv.14,735,0,0,0
Lv.15,780,0,0,0
Lv.16,825,0,0,0
Lv.17,870,0,0,0
Lv.18,915,0,0,0
Lv.19,960,0,0,0
Lv.20,1020,0,0,0
Lv.20 (돌파),0,50,0,0
Lv.21,1080,0,0,0
Lv.22,1140,0,0,0
Lv.23,1200,0,0,0
Lv.24,1260,0,0,0
Lv.25,1320,0,0,0
Lv.26,1380,0,0,0
Lv.27,1440,0,0,0
Lv.28,1500,0,0,0
Lv.29,1650,0,0,0
Lv.30,1740,0,0,0
Lv.30 (돌파),0,75,10,0
Lv.31,1830,0,0,0
Lv.32,1920,0,0,0
Lv.33,2010,0,0,0
Lv.34,2100,0,0,0
Lv.35,2190,0,0,0
Lv.36,2280,0,0,0
Lv.37,2370,0,0,0
Lv.38,2460,0,0,0
Lv.39,2550,0,0,0
Lv.40,2580,0,0,0
Lv.40 (돌파),0,100,20,0
Lv.41,2700,0,0,0
Lv.42,2820,0,0,0
Lv.43,2940,0,0,0
Lv.44,3060,0,0,0
Lv.45,3180,0,0,0
Lv.46,3300,0,0,0
Lv.47,3420,0,0,0
Lv.48,3540,0,0,0
Lv.49,3660,0,0,0
Lv.50,3810,0,0,0
Lv.50 (돌파),0,155,30,10
Lv.51,3960,0,0,0
Lv.52,4110,0,0,0
Lv.53,4260,0,0,0
Lv.54,4410,0,0,0
Lv.55,4560,0,0,0
Lv.56,4710,0,0,0
Lv.57,4860,0,0,0
Lv.58,5010,0,0,0
Lv.59,5160,0,0,0
Lv.60,5340,0,0,0
Lv.60 (돌파),0,200,50,20
Lv.61,5520,0,0,0
Lv.62,5700,0,0,0
Lv.63,5880,0,0,0
Lv.64,6060,0,0,0
Lv.65,6240,0,0,0
Lv.66,6420,0,0,0
Lv.67,6600,0,0,0
Lv.68,6780,0,0,0
Lv.69,6960,0,0,0
Lv.70,7140,0,0,0
Lv.70 (돌파),0,255,80,40
