레벨,펫먹이,조련매뉴얼,활력의약,강화혈청
Lv.1,0,0,0,0
Lv.2,400,0,0,0
Lv.3,440,0,0,0
Lv.4,480,0,0,0
Lv.5,520,0,0,0
Lv.6,560,0,0,0
Lv.7,600,0,0,0
Lv.8,640,0,0,0
Lv.9,680,0,0,0
Lv.10,740,0,0,0
Lv.10 (돌파),0,30,0,0
Lv.11,800,0,0,0
Lv.12,860,0,0,0
Lv.13,920,0,0,0
Lv.14,980,0,0,0
Lv.15,1040,0,0,0
Lv.16,1100,0,0,0
Lv.17,1160,0,0,0
Lv.18,1220,0,0,0
Lv.19,1280,0,0,0
Lv.20,1360,0,0,0
Lv.20 (돌파),0,60,0,0
Lv.21,1440,0,0,0
Lv.22,1520,0,0,0
Lv.23,1600,0,0,0
Lv.24,1680,0,0,0
Lv.25,1760,0,0,0
Lv.26,1840,0,0,0
Lv.27,1920,0,0,0
Lv.28,2000,0,0,0
Lv.29,2080,0,0,0
Lv.30,2200,0,0,0
Lv.30 (돌파),0,95,10,0
Lv.31,2320,0,0,0
Lv.32,2440,0,0,0
Lv.33,2560,0,0,0
Lv.34,2680,0,0,0
Lv.35,2800,0,0,0
Lv.36,2920,0,0,0
Lv.37,3040,0,0,0
Lv.38,3160,0,0,0
Lv.39,3280,0,0,0
Lv.40,3440,0,0,0
Lv.40 (돌파),0,125,20,0
Lv.41,3600,0,0,0
Lv.42,3760,0,0,0
Lv.43,3920,0,0,0
Lv.44,4080,0,0,0
Lv.45,4240,0,0,0
Lv.46,4400,0,0,0
Lv.47,4560,0,0,0
Lv.48,4720,0,0,0
Lv.49,4880,0,0,0
Lv.50,5080,0,0,0
Lv.50 (돌파),0,190,30,10
Lv.51,5280,0,0,0
Lv.52,5480,0,0,0
Lv.53,5680,0,0,0
Lv.54,5880,0,0,0
Lv.55,6080,0,0,0
Lv.56,6280,0,0,0
Lv.57,6480,0,0,0
Lv.58,6680,0,0,0
Lv.59,6880,0,0,0
Lv.60,7120,0,0,0
Lv.60 (돌파),0,250,50,20
Lv.61,7360,0,0,0
Lv.62,7600,0,0,0
Lv.63,7840,0,0,0
Lv.64,8080,0,0,0
Lv.65,8320,0,0,0
Lv.66,8560,0,0,0
Lv.67,8800,0,0,0
Lv.68,9040,0,0,0
Lv.69,9280,0,0,0
Lv.70,9520,0,0,0
Lv.70 (돌파),0,310,80,40
Lv.71,9760,0,0,0
Lv.72,10000,0,0,0
Lv.73,10240,0,0,0
Lv.74,10480,0,0,0
Lv.75,10720,0,0,0
Lv.76,10960,0,0,0
Lv.77,11200,0,0,0
Lv.78,11440,0,0,0
Lv.79,11680,0,0,0
Lv.80,12000,0,0,0
Lv.80 (돌파),0,380,100,60
