레벨,펫먹이,조련매뉴얼,활력의약,강화혈청
Lv.1,0,0,0,0
Lv.2,150,0,0,0
Lv.3,160,0,0,0
Lv.4,170,0,0,0
Lv.5,180,0,0,0
Lv.6,190,0,0,0
Lv.7,200,0,0,0
Lv.8,210,0,0,0
Lv.9,220,0,0,0
Lv.10,235,0,0,0
Lv.10 (돌파),0,15,0,0
Lv.11,250,0,0,0
Lv.12,265,0,0,0
Lv.13,280,0,0,0
Lv.14,295,0,0,0
Lv.15,310,0,0,0
Lv.16,325,0,0,0
Lv.17,340,0,0,0
Lv.18,355,0,0,0
Lv.19,370,0,0,0
Lv.20,390,0,0,0
Lv.20 (돌파),0,30,0,0
Lv.21,410,0,0,0
Lv.22,430,0,0,0
Lv.23,450,0,0,0
Lv.24,470,0,0,0
Lv.25,490,0,0,0
Lv.26,510,0,0,0
Lv.27,530,0,0,0
Lv.28,550,0,0,0
Lv.29,570,0,0,0
Lv.30,600,0,0,0
Lv.30 (돌파),0,45,10,0
Lv.31,630,0,0,0
Lv.32,660,0,0,0
Lv.33,690,0,0,0
Lv.34,720,0,0,0
Lv.35,750,0,0,0
Lv.36,780,0,0,0
Lv.37,810,0,0,0
Lv.38,840,0,0,0
Lv.39,870,0,0,0
Lv.40,910,0,0,0
Lv.40 (돌파),0,60,20,0
Lv.41,950,0,0,0
Lv.42,990,0,0,0
Lv.43,1030,0,0,0
Lv.44,1070,0,0,0
Lv.45,1110,0,0,0
Lv.46,1150,0,0,0
Lv.47,1190,0,0,0
Lv.48,1230,0,0,0
Lv.49,1270,0,0,0
Lv.50,1320,0,0,0
Lv.50 (돌파),0,90,30,10
