레벨,불수정,정제,고기,나무,석탄,철광,변환시간
1,0,0,0,0.00006,0,0,0:00:02
2,0,0,0,0.00009,0,0,0:00:10
3,0,0,0,0.0004,0,0,0:01:00
4,0,0,0,0.0009,0.00018,0,0:02:00
5,0,0,0,0.0038,0.00076,0,0:06:40
6,0,0,0,0.0096,0.0019,0.00048,0:13:20
7,0,0,0,0.034,0.0069,0.0017,0:25:00
8,0,0,0,0.063,0.012,0.0031,0:45:00
9,0,0,0,0.13,0.026,0.0065,2:00:00
10,0,0,0,0.23,0.046,0.011,3:57:30
11,0,0,0,0.26,0.052,0.013,4:57:00
12,0,0,0.33,0.33,0.067,0.016,5:56:00
13,0,0,0.47,0.47,0.095,0.023,7:15:30
14,0,0,0.63,0.63,0.12,0.031,9:14:00
15,0,0,0.93,0.93,0.18,0.046,11:52:30
16,0,0,1.1,1.1,0.23,0.059,20:07:00
17,0,0,1.8,1.8,0.37,0.093,24:08:00
18,0,0,2.5,2.5,0.5,0.12,28:58:00
19,0,0,3.1,3.1,0.62,0.15,43:27:00
20,0,0,4.3,4.3,0.86,0.21,54:19:00
21,0,0,5.4,5.4,1,0.27,70:36:00
22,0,0,7.2,7.2,1.4,0.36,105:55:00
23,0,0,8.9,8.9,1.7,0.44,148:17:00
24,0,0,12,12,2.4,0.6,207:36:00
25,0,0,16,16,3.2,0.81,290:38:00
26,0,0,21,21,4.2,1,334:14:00
27,0,0,29,29,5.9,1.4,401:05:00
28,0,0,39,39,7.9,1.9,461:15:00
29,0,0,49,49,9.8,2.4,530:26:00
30,0,0,60,60,12,3,636:32:00
30-1,33,0,20,20,4,1,110:52:00
30-2,33,0,20,20,4,1,110:52:00
30-3,33,0,20,20,4,1,110:52:00
30-4,33,0,20,20,4,1,110:52:00
FC1,33,0,20,20,4,1,110:52:00
FC1-1,39,0,21,21,4.3,1,142:33:00
FC1-2,39,0,21,21,4.3,1,142:33:00
FC1-3,39,0,21,21,4.3,1,142:33:00
FC1-4,39,0,21,21,4.3,1,142:33:00
FC2,39,0,21,21,4.3,1,142:33:00
FC2-1,59,0,23,23,4.7,1.1,174:14:00
FC2-2,59,0,23,23,4.7,1.1,174:14:00
FC2-3,59,0,23,23,4.7,1.1,174:14:00
FC2-4,59,0,23,23,4.7,1.1,174:14:00
FC3,59,0,23,23,4.7,1.1,174:14:00
FC3-1,70,0,24,24,4.9,1.2,190:04:00
FC3-2,70,0,24,24,4.9,1.2,190:04:00
FC3-3,70,0,24,24,4.9,1.2,190:04:00
FC3-4,70,0,24,24,4.9,1.2,190:04:00
FC4,70,0,24,24,4.9,1.2,190:04:00
FC4-1,83,0,25,25,5,1.2,221:45:00
FC4-2,83,0,25,25,5,1.2,221:45:00
FC4-3,83,0,25,25,5,1.2,221:45:00
FC4-4,83,0,25,25,5,1.2,221:45:00
FC5,83,0,25,25,5,1.2,221:45:00
FC5-1,50,2,29,29,5.8,1.4,237:36:00
FC5-2,50,2,29,29,5.8,1.4,237:36:00
FC5-3,50,2,29,29,5.8,1.4,237:36:00
FC5-4,50,2,29,29,5.8,1.4,237:36:00
FC6,25,5,29,29,5.8,1.4,237:36:00
FC6-1,60,3,32,32,6.5,1.5,285:07:00
FC6-2,60,3,32,32,6.5,1.5,285:07:00
FC6-3,60,3,32,32,6.5,1.5,285:07:00
FC6-4,60,3,32,32,6.5,1.5,285:07:00
FC7,30,7,32,32,6.5,1.5,285:07:00
FC7-1,60,5,39,39,7.9,1.9,316:48:00
FC7-2,60,5,39,39,7.9,1.9,316:48:00
FC7-3,60,5,39,39,7.9,1.9,316:48:00
FC7-4,60,5,39,39,7.9,1.9,316:48:00
FC8,30,10,39,39,7.9,1.9,316:48:00
FC8-1,70,7,43,43,8.7,2.1,205:55:00
FC8-2,70,7,43,43,8.7,2.1,205:55:00
FC8-3,70,7,43,43,8.7,2.1,205:55:00
FC8-4,70,7,43,43,8.7,2.1,205:55:00
FC9,35,15,43,43,8.7,2.1,205:55:00
FC9-1,87,17,50,50,10,2.5,316:48:00
FC9-2,87,17,50,50,10,2.5,316:48:00
FC9-3,87,17,50,50,10,2.5,316:48:00
FC9-4,87,17,50,50,10,2.5,316:48:00
FC10,43,35,50,50,10,2.5,316:48:00

