레벨,불수정,정제,고기,나무,석탄,철광,변환시간
1,0,0,0,0.000095,0,0,0:00:02
2,0,0,0,0.00014,0,0,0:00:09
3,0,0,0,0.000645,0,0,0:00:45
4,0,0,0,0.0014,0.000285,0,0:02:15
5,0,0,0,0.006,0.0012,0,0:04:30
6,0,0,0,0.015,0.003,0.000765,0:09:00
7,0,0,0,0.055,0.011,0.0027,0:18:00
8,0,0,0,0.1,0.02,0.005,0:27:00
9,0,0,0,0.2,0.041,0.01,0:40:30
10,0,0,0,0.36,0.073,0.018,0:54:00
11,0,0,0.46,0.46,0.092,0.023,1:07:30
12,0,0,0.58,0.58,0.11,0.029,1:21:00
13,0,0,0.83,0.83,0.16,0.041,1:39:00
14,0,0,1.1,1.1,0.22,0.055,2:06:00
15,0,0,1.6,1.6,0.32,0.081,2:42:00
16,0,0,2,2,0.41,0.1,4:34:00
17,0,0,3.2,3.2,0.65,0.16,5:29:00
18,0,0,4.3,4.3,0.87,0.21,6:35:00
19,0,0,5.4,5.4,1,0.27,9:52:30
20,0,0,7.5,7.5,1.5,0.37,12:20:30
21,0,0,9.5,9.5,1.9,0.47,16:02:30
22,0,0,12,12,2.5,0.63,24:04:00
23,0,0,15,15,3.1,0.49,33:42:00
24,0,0,21,21,4.2,1,47:11:00
25,0,0,28,28,5.7,1.4,66:03:00
26,0,0,36,36,7.3,1.8,75:57:00
27,0,0,52,52,10,2.6,91:09:00
28,0,0,69,69,13,3.4,104:49:00
29,0,0,86,86,17,4.3,120:33:00
30,0,0,100,100,21,5.2,144:40:00
30-1,59,0,23,23,4.7,1.1,25:12:00
30-2,59,0,23,23,4.7,1.1,25:12:00
30-3,59,0,23,23,4.7,1.1,25:12:00
30-4,59,0,23,23,4.7,1.1,25:12:00
FC1,59,0,23,23,4.7,1.1,25:12:00
FC1-1,71,0,25,25,5,1.2,32:24:00
FC1-2,71,0,25,25,5,1.2,32:24:00
FC1-3,71,0,25,25,5,1.2,32:24:00
FC1-4,71,0,25,25,5,1.2,32:24:00
FC2,71,0,25,25,5,1.2,32:24:00
FC2-1,107,0,27,27,5.5,1.3,39:36:00
FC2-2,107,0,27,27,5.5,1.3,39:36:00
FC2-3,107,0,27,27,5.5,1.3,39:36:00
FC2-4,107,0,27,27,5.5,1.3,39:36:00
FC3,107,0,27,27,5.5,1.3,39:36:00
FC3-1,126,0,28,28,5.7,1.4,43:12:00
FC3-2,126,0,28,28,5.7,1.4,43:12:00
FC3-3,126,0,28,28,5.7,1.4,43:12:00
FC3-4,126,0,28,28,5.7,1.4,43:12:00
FC4,126,0,28,28,5.7,1.4,43:12:00
FC4-1,150,0,29,29,5.9,1.4,50:24:00
FC4-2,150,0,29,29,5.9,1.4,50:24:00
FC4-3,150,0,29,29,5.9,1.4,50:24:00
FC4-4,150,0,29,29,5.9,1.4,50:24:00
FC5,150,0,29,29,5.9,1.4,50:24:00
FC5-1,90,4,33,33,6.7,1.6,50:24:00
FC5-2,90,4,33,33,6.7,1.6,50:24:00
FC5-3,90,4,33,33,6.7,1.6,50:24:00
FC5-4,90,4,33,33,6.7,1.6,50:24:00
FC6,45,9,33,33,6.7,1.6,50:24:00
FC6-1,108,6,38,38,7.6,1.9,64:48:00
FC6-2,108,6,38,38,7.6,1.9,64:48:00
FC6-3,108,6,38,38,7.6,1.9,64:48:00
FC6-4,108,6,38,38,7.6,1.9,64:48:00
FC7,54,13,38,38,7.6,1.9,64:48:00
FC7-1,108,9,46,46,9.3,2.3,72:00:00
FC7-2,108,9,46,46,9.3,2.3,72:00:00
FC7-3,108,9,46,46,9.3,2.3,72:00:00
FC7-4,108,9,46,46,9.3,2.3,72:00:00
FC8,54,18,46,46,9.3,2.3,72:00:00
FC8-1,126,13,50,50,10,2.5,46:48:00
FC8-2,126,13,50,50,10,2.5,46:48:00
FC8-3,126,13,50,50,10,2.5,46:48:00
FC8-4,126,13,50,50,10,2.5,46:48:00
FC9,63,27,50,50,10,2.5,46:48:00
FC9-1,157,31,59,59,11,2.9,72:00:00
FC9-2,157,31,59,59,11,2.9,72:00:00
FC9-3,157,31,59,59,11,2.9,72:00:00
FC9-4,157,31,59,59,11,2.9,72:00:00
FC10,78,63,59,59,11,2.9,72:00:00
