레벨,불수정,정제,고기,나무,석탄,철광,변환시간
1,0,0,0,0,0,0,0:00:02
2,0,0,0.0001,0,0,0,0:00:09
3,0,0,0.00046,0,0,0,0:00:40
4,0,0,0.001,0.000205,0,0,0:02:05
5,0,0,0.0043,0.000865,0,0,0:04:10
6,0,0,0.01,0.0021,0.000545,0,0:08:20
7,0,0,0.039,0.0078,0.0019,0,0:16:30
8,0,0,0.072,0.014,0.0036,0,0:25:00
9,0,0,0.14,0.029,0.0074,0,0:27:30
10,0,0,0.26,0.052,0.013,0,0:50:00
11,0,0,0.32,0.32,0.065,0.016,1:03:00
12,0,0,0.42,0.42,0.054,0.021,1:15:30
13,0,0,0.59,0.59,0.11,0.029,1:32:00
14,0,0,0.78,0.78,0.15,0.039,1:57:30
15,0,0,1.1,1.1,0.23,0.058,2:31:00
16,0,0,1.4,1.4,0.29,0.074,4:16:00
17,0,0,2.3,2.3,0.46,0.11,5:07:00
18,0,0,3.1,3.1,0.62,0.15,6:08:30
19,0,0,3.9,3.9,0.78,0.19,9:13:00
20,0,0,5.3,5.3,1,0.26,11:31:00
21,0,0,6.8,6.8,1.3,0.34,14:58:30
22,0,0,9,9,1.8,0.45,22:28:00
23,0,0,11,11,2.2,0.56,31:27:00
24,0,0,15,15,3,0.75,44:02:00
25,0,0,20,20,4,1,61:39:00
26,0,0,26,26,5.2,1.3,70:54:00
27,0,0,37,37,7.4,1.8,85:04:00
28,0,0,49,49,9.9,2.4,97:50:00
29,0,0,61,61,12,3,112:31:00
30,0,0,75,75,15,3.7,135:01:00
30-1,26,0,16,16,3.3,0.84,23:31:00
30-2,26,0,16,16,3.3,0.84,23:31:00
30-3,26,0,16,16,3.3,0.84,23:31:00
30-4,26,0,16,16,3.3,0.84,23:31:00
FC1,26,0,16,16,3.3,0.84,23:31:00
FC1-1,31,0,18,18,3.3,0.9,30:14:00
FC1-2,31,0,18,18,3.3,0.9,30:14:00
FC1-3,31,0,18,18,3.3,0.9,30:14:00
FC1-4,31,0,18,18,3.3,0.9,30:14:00
FC2,31,0,18,18,3.3,0.9,30:14:00
FC2-1,47,0,19,19,3.9,0.99,36:57:00
FC2-2,47,0,19,19,3.9,0.99,36:57:00
FC2-3,47,0,19,19,3.9,0.99,36:57:00
FC2-4,47,0,19,19,3.9,0.99,36:57:00
FC3,47,0,19,19,3.9,0.99,36:57:00
FC3-1,56,0,20,20,4.1,1,40:19:00
FC3-2,56,0,20,20,4.1,1,40:19:00
FC3-3,56,0,20,20,4.1,1,40:19:00
FC3-4,56,0,20,20,4.1,1,40:19:00
FC4,56,0,20,20,4.1,1,40:19:00
FC4-1,67,0,21,21,4.2,1,47:02:00
FC4-2,67,0,21,21,4.2,1,47:02:00
FC4-3,67,0,21,21,4.2,1,47:02:00
FC4-4,67,0,21,21,4.2,1,47:02:00
FC5,67,0,21,21,4.2,1,47:02:00
FC5-1,40,2,24,24,4.8,1.2,50:24:00
FC5-2,40,2,24,24,4.8,1.2,50:24:00
FC5-3,40,2,24,24,4.8,1.2,50:24:00
FC5-4,40,2,24,24,4.8,1.2,50:24:00
FC6,20,4,24,24,4.8,1.2,50:24:00
FC6-1,48,3,27,27,5.4,1.3,60:28:00
FC6-2,48,3,27,27,5.4,1.3,60:28:00
FC6-3,48,3,27,27,5.4,1.3,60:28:00
FC6-4,48,3,27,27,5.4,1.3,60:28:00
FC7,24,6,27,27,5.4,1.3,60:28:00
FC7-1,48,4,33,33,6.6,1.6,67:12:00
FC7-2,48,4,33,33,6.6,1.6,67:12:00
FC7-3,48,4,33,33,6.6,1.6,67:12:00
FC7-4,48,4,33,33,6.6,1.6,67:12:00
FC8,24,8,33,33,6.6,1.6,67:12:00
FC8-1,56,6,36,36,7.2,1.8,43:40:00
FC8-2,56,6,36,36,7.2,1.8,43:40:00
FC8-3,56,6,36,36,7.2,1.8,43:40:00
FC8-4,56,6,36,36,7.2,1.8,43:40:00
FC9,28,12,36,36,7.2,1.8,43:40:00
FC9-1,70,14,42,42,8.4,2.1,67:12:00
FC9-2,70,14,42,42,8.4,2.1,67:12:00
FC9-3,70,14,42,42,8.4,2.1,67:12:00
FC9-4,70,14,42,42,8.4,2.1,67:12:00
FC10,35,28,42,42,8.4,2.1,67:12:00
