레벨,불수정,정제,고기,나무,석탄,철광,변환시간
FC1,0,0,0,0,0,0,0
FC1-1,71,0,36,36,7.2,1.8,43:12:00
FC1-2,71,0,36,36,7.2,1.8,43:12:00
FC1-3,71,0,36,36,7.2,1.8,43:12:00
FC1-4,71,0,36,36,7.2,1.8,43:12:00
FC2,158,0,36,36,7.2,1.8,43:12:00
FC2-1,107,0,39,39,7.9,1.9,52:48:00
FC2-2,107,0,39,39,7.9,1.9,52:48:00
FC2-3,107,0,39,39,7.9,1.9,52:48:00
FC2-4,107,0,39,39,7.9,1.9,52:48:00
FC3,107,0,39,39,7.9,1.9,52:48:00
FC3-1,126,0,41,41,8.2,2,57:36:00
FC3-2,126,0,41,41,8.2,2,57:36:00
FC3-3,126,0,41,41,8.2,2,57:36:00
FC3-4,126,0,41,41,8.2,2,57:36:00
FC4,126,0,41,41,8.2,2,57:36:00
FC4-1,150,0,42,42,8.2,2.1,67:12:00
FC4-2,150,0,42,42,8.2,2.1,67:12:00
FC4-3,150,0,42,42,8.2,2.1,67:12:00
FC4-4,150,0,42,42,8.2,2.1,67:12:00
FC5,150,0,42,42,8.2,2.1,67:12:00
FC5-1,90,4,48,48,9.6,2.4,72:00:00
FC5-2,90,4,48,48,9.6,2.4,72:00:00
FC5-3,90,4,48,48,9.6,2.4,72:00:00
FC5-4,90,4,48,48,9.6,2.4,72:00:00
FC6,45,9,48,48,9.6,2.4,72:00:00
FC6-1,108,6,54,54,10,2.7,86:24:00
FC6-2,108,6,54,54,10,2.7,86:24:00
FC6-3,108,6,54,54,10,2.7,86:24:00
FC6-4,108,6,54,54,10,2.7,86:24:00
FC7,54,13,54,54,10,2.7,86:24:00
FC7-1,108,9,66,66,13,3.3,96:00:00
FC7-2,108,9,66,66,13,3.3,96:00:00
FC7-3,108,9,66,66,13,3.3,96:00:00
FC7-4,108,9,66,66,13,3.3,96:00:00
FC8,54,19,66,66,13,3.3,96:00:00
FC8-1,126,13,72,72,14,3.6,62:24:00
FC8-2,126,13,72,72,14,3.6,62:24:00
FC8-3,126,13,72,72,14,3.6,62:24:00
FC8-4,126,13,72,72,14,3.6,62:24:00
FC9,63,27,72,72,14,3.6,62:24:00
FC9-1,157,31,84,84,16,7.2,96:00:00
FC9-2,157,31,84,84,16,7.2,96:00:00
FC9-3,157,31,84,84,16,7.2,96:00:00
FC9-4,157,31,84,84,16,7.2,96:00:00
FC10,78,61,84,84,16,7.2,96:00:00


