연구,고기,목재,석탄,철광,철강재,시간
무기특훈I-0,0,0,0,0,0,0
무기특훈I-1,8700,8700,1700,430,520,0d 00:02:55
무기특훈I-2,12000,12000,2400,610,720,0d 00:04:23
무기특훈I-3,26000,26000,5200,1300,1500,0d 00:11:42
반격방어I-0,0,0,0,0,0,0
반격방어I-1,3300,3300,670,160,200,0d 00:01:07
반격방어I-2,4700,4700,940,230,280,0d 00:01:41
반격방어I-3,10000,10000,2000,500,600,0d 00:04:30
정밀사격I-0,0,0,0,0,0,0
정밀사격I-1,8100,8100,1600,400,480,0d 00:02:42
정밀사격I-2,11000,11000,2200,560,570,0d 00:04:03
정밀사격I-3,24000,24000,4800,1200,1400,0d 00:10:48
신속돌격I-0,0,0,0,0,0,0
신속돌격I-1,8100,8100,1600,400,480,0d 00:02:42
신속돌격I-2,11000,11000,2200,560,670,0d 00:04:03
신속돌격I-3,24000,24000,4800,1200,1400,0d 00:10:48
방어라인업I-0,0,0,0,0,0,0
방어라인업I-1,10000,10000,2000,500,600,0d 00:03:22
방어라인업I-2,14000,14000,2800,700,840,0d 00:05:03
방어라인업I-3,30000,30000,6000,1500,1800,0d 00:13:30
경계대형I-0,0,0,0,0,0,0
경계대형I-1,5400,5400,1000,270,320,0d 00:01:48
경계대형I-2,7500,7500,1500,370,440,0d 00:02:42
경계대형I-3,16000,16000,3200,810,960,0d 00:07:12
진지방어I-0,0,0,0,0,0,0
진지방어I-1,5400,5400,1000,270,320,0d 00:01:48
진지방어I-2,7500,7500,1500,370,440,0d 00:02:42
진지방어I-3,16000,16000,3200,810,960,0d 00:07:12
방어특훈I-0,0,0,0,0,0,0
방어특훈I-1,8700,8700,1700,430,520,0d 00:02:55
방어특훈I-2,12000,12000,2400,610,720,0d 00:04:23
방어특훈I-3,26000,26000,5200,1300,1500,0d 00:11:42
생존특훈I-0,0,0,0,0,0,0
생존특훈I-1,8700,8700,1700,430,520,0d 00:02:55
생존특훈I-2,12000,12000,2400,610,720,0d 00:04:24
생존특훈I-3,26000,26000,5200,1300,1500,0d 00:11:42
돌격특훈I-0,0,0,0,0,0,0
돌격특훈I-1,8700,8700,1700,430,520,0d 00:02:55
돌격특훈I-2,12000,12000,2400,610,720,0d 00:04:24
돌격특훈I-3,26000,26000,5200,1300,1500,0d 00:11:42
편성확장I-0,0,0,0,0,0,0
편성확장I-1,9400,9400,1800,470,560,0d 00:03:36
편성확장I-2,13000,13000,2600,660,780,0d 00:05:24
편성확장I-3,28000,28000,5600,1400,1600,0d 00:14:24
피의전투I-0,0,0,0,0,0,0
피의전투I-1,3300,3300,670,160,200,0d 00:01:07
피의전투I-2,4700,4700,940,230,280,0d 00:01:41
피의전투I-3,10000,10000,2000,500,600,0d 00:04:30
정점저격I-0,0,0,0,0,0,0
정점저격I-1,8100,8100,1600,400,480,0d 00:02:42
정점저격I-2,11000,11000,2200,560,670,0d 00:04:03
정점저격I-3,24000,24000,4800,1200,1400,0d 00:10:48
창 개조I-0,0,0,0,0,0,0
창 개조I-1,8100,8100,1600,400,480,0d 00:02:42
창 개조I-2,11000,11000,2200,560,670,0d 00:04:03
창 개조I-3,24000,24000,4800,1200,1400,0d 00:10:48
방패개조I-0,0,0,0,0,0,0
방패개조I-1,10000,10000,2000,500,600,0d 00:03:22
방패개조I-2,14000,14000,2800,700,840,0d 00:05:03
방패개조I-3,30000,30000,6000,1500,1800,0d 00:13:30
궁병갑옷I-0,0,0,0,0,0,0
궁병갑옷I-1,5400,5400,1000,270,320,0d 00:01:48
궁병갑옷I-2,7500,7500,1500,370,440,0d 00:02:42
궁병갑옷I-3,16000,16000,3200,810,960,0d 00:07:12
창병방어I-0,0,0,0,0,0,0
창병방어I-1,5400,5400,1000,270,320,0d 00:01:48
창병방어I-2,7500,7500,1500,370,440,0d 00:02:42
창병방어I-3,16000,16000,3200,810,960,0d 00:07:12
무기특훈II-0,0,0,0,0,0,0
무기특훈II-1,87000,87000,17000,4300,1000,0d 00:32:30
무기특훈II-2,120000,120000,24000,6100,1400,0d 00:48:45
무기특훈II-3,260000,260000,52000,13000,3100,0d 02:10:00
반격방어II-0,0,0,0,0,0,0
반격방어II-1,33000,33000,6700,1600,400,0d 00:12:30
