연구,고기,목재,석탄,철광,철강재,시간
생고기 생산량I-0,0,0,0,0,0,0
생고기 생산량I-1,5400,5400,1000,270,320,0d 00:27:00
생고기 생산량I-2,7500,7500,1500,370,440,0d 00:40:00
생고기 생산량I-3,16000,16000,3200,810,960,0d 01:48:00
목재 생산량I-0,0,0,0,0,0,0
목재 생산량I-1,5400,5400,1000,270,320,0d 00:27:00
목재 생산량I-2,7500,7500,1500,370,440,0d 00:40:00
목재 생산량I-3,16000,16000,3200,810,960,0d 01:48:00
식량채집I-0,0,0,0,0,0,0
식량채집I-1,4000,4000,810,200,240,0d 00:27:00
식량채집I-2,5600,5600,1100,280,320,0d 00:40:00
식량채집I-3,12000,12000,2400,600,720,0d 01:48:00
목재채집I-0,0,0,0,0,0,0
목재채집I-1,4000,4000,810,200,240,0d 00:27:00
목재채집I-2,5600,5600,1100,280,320,0d 00:40:00
목재채집I-3,12000,12000,2400,600,720,0d 01:48:00
석탄 생산량I-0,0,0,0,0,0,0
석탄 생산량I-1,5400,5400,1000,270,320,0d 00:27:00
석탄 생산량I-2,7500,7500,1500,370,440,0d 00:40:00
석탄 생산량I-3,16000,16000,3200,810,960,0d 01:48:00
석탄채집I-0,0,0,0,0,0,0
석탄채집I-1,4000,4000,810,200,240,0d 00:27:00
석탄채집I-2,5600,5600,1100,280,320,0d 00:40:00
석탄채집I-3,12000,12000,2400,600,720,0d 01:48:00
생고기 생산량II-0,0,0,0,0,0,0
생고기 생산량II-1,21000,21000,4300,1000,240,0d 00:10:00
생고기 생산량II-2,30000,30000,6000,1500,330,0d 00:15:00
생고기 생산량II-3,64000,64000,12000,3200,720,0d 00:40:00
목재 생산량II-0,0,0,0,0,0,0
목재 생산량II-1,21000,21000,4300,1000,240,0d 00:10:00
목재 생산량II-2,30000,30000,6000,1500,330,0d 00:15:00
목재 생산량II-3,64000,64000,12000,3200,720,0d 00:40:00
철광 생산량I-0,0,0,0,0,0,0
철광 생산량I-1,13000,13000,2700,670,800,0d 02:15:00
철광 생산량I-2,18000,18000,3700,940,1100,0d 03:22:00
철광 생산량I-3,40000,40000,8100,2000,2400,0d 09:00:00
식량채집II-0,0,0,0,0,0,0
식량채집II-1,40000,40000,8100,2000,480,0d 05:00:00
식량채집II-2,56000,56000,11000,2800,670,0d 07:30:00
식량채집II-3,120000,120000,24000,6000,1400,0d 20:00:00
목재채집II-0,0,0,0,0,0,0
목재채집II-1,40000,40000,8100,2000,480,0d 05:00:00
목재채집II-2,56000,56000,11000,2800,670,0d 07:30:00
목재채집II-3,120000,120000,24000,6000,1400,0d 20:00:00
철광채집I-0,0,0,0,0,0,0
철광채집I-1,4000,4000,810,200,240,0d 00:27:00
철광채집I-2,5600,5600,1100,280,320,0d 00:40:00
철광채집I-3,12000,12000,2400,600,720,0d 01:48:00
생고기 생산량III-0,0,0,0,0,0,0
생고기 생산량III-1,170000,170000,34000,8600,1900,0d 00:20:00
생고기 생산량III-2,240000,240000,48000,12000,2600,0d 00:30:00
생고기 생산량III-3,510000,510000,100000,25000,5700,0d 01:20:00
석탄 생산량II-0,0,0,0,0,0,0
석탄 생산량II-1,130000,130000,27000,6700,1600,0d 00:25:00
석탄 생산량II-2,180000,180000,37000,9400,2200,0d 00:37:30
석탄 생산량II-3,400000,400000,81000,20000,4800,0d 01:40:00
목재 생산량III-0,0,0,0,0,0,0
목재 생산량III-1,170000,170000,34000,8600,1900,0d 00:20:00
목재 생산량III-2,240000,240000,48000,12000,2600,0d 00:30:00
목재 생산량III-3,510000,510000,100000,25000,5700,0d 01:20:00

철광 생산량II-1,130000,130000,27000,6700,1600,0d 00:25:00
철광 생산량II-2,180000,180000,37000,9400,2200,0d 00:37:30
철광 생산량II-3,400000,400000,81000,20000,4800,0d 01:40:00
식량채집III-1,120000,120000,25000,6400,1400,0d 00:20:00
식량채집III-2,180000,180000,36000,9000,2000,0d 00:30:00
식량채집III-3,380000,380000,77000,19000,4300,0d 01:20:00
석탄채집II-1,100000,100000,20000,5000,1200,0d 00:17:30
석탄채집II-2,140000,140000,28000,7000,1600,0d 00:26:15
석탄채집II-3,300000,300000,60000,15000,3600,0d 01:10:00
목재채집III-0,0,0,0,0,0,0
목재채집III-1,120000,120000,25000,6400,1400,0d 00:20:00
목재채집III-2,180000,180000,36000,9000,2000,0d 00:30:00
목재채집III-3,380000,380000,77000,19000,4300,0d 01:20:00
철광채집II-0,0,0,0,0,0,0
철광채집II-1,100000,100000,20000,5000,1200,0d 00:17:30
철광채집II-2,140000,140000,28000,7000,1600,0d 00:26:15
철광채집II-3,300000,300000,60000,15000,3600,0d 01:10:00
생고기 생산량IV-0,0,0,0,0,0,0
생고기 생산량IV-1,370000,370000,74000,18000,4800,0d 02:13:20
생고기 생산량IV-2,520000,520000,100000,26000,6700,0d 03:20:00
생고기 생산량IV-3,1100000,1100000,220000,55000,14000,0d 08:53:20
석탄 생산량III-0,0,0,0,0,0,0
석탄 생산량III-1,430000,430000,86000,21000,4800,0d 01:40:00
석탄 생산량III-2,600000,600000,120000,30000,6700,0d 02:30:00
석탄 생산량III-3,1200000,1200000,250000,64000,14000,0d 06:40:00
목재 생산량IV-0,0,0,0,0,0,0
목재 생산량IV-1,490000,490000,99000,24000,6400,0d 02:13:20
목재 생산량IV-2,690000,690000,130000,34000,8900,0d 03:20:00
목재 생산량IV-3,1400000,1400000,290000,74000,19000,0d 08:53:20
철광 생산량III-0,0,0,0,0,0,0
철광 생산량III-1,430000,430000,86000,21000,4800,0d 01:40:00
철광 생산량III-2,600000,600000,120000,30000,6700,0d 02:30:00
철광 생산량III-3,1200000,1200000,250000,64000,14000,0d 06:40:00
식량채집IV-0,0,0,0,0,0,0
식량채집IV-1,370000,370000,74000,18000,4800,0d 02:13:20
식량채집IV-2,520000,520000,100000,26000,6700,0d 03:20:00
식량채집IV-3,1100000,1100000,220000,55000,14000,0d 08:53:20
석탄채집III-0,0,0,0,0,0,0
석탄채집III-1,320000,320000,64000,16000,3600,0d 01:10:00
석탄채집III-2,450000,450000,90000,22000,5000,0d 01:45:00
석탄채집III-3,970000,970000,190000,48000,10000,0d 04:40:00
목재채집IV-0,0,0,0,0,0,0
목재채집IV-1,370000,370000,74000,18000,4800,0d 02:13:20
목재채집IV-2,520000,520000,100000,26000,6700,0d 03:20:00
목재채집IV-3,1100000,1100000,220000,55000,14000,0d 08:53:20
철광채집III-0,0,0,0,0,0,0
철광채집III-1,320000,320000,64000,16000,3600,0d 01:10:00
철광채집III-2,450000,450000,90000,22000,5000,0d 01:45:00
철광채집III-3,970000,970000,190000,48000,10000,0d 04:40:00
생고기 생산량V-0,0,0,0,0,0,0
생고기 생산량V-1,880000,880000,170000,44000,25000,0d 13:53:20
생고기 생산량V-2,1200000,1200000,240000,61000,35000,0d 20:50:00
생고기 생산량V-3,2600000,2600000,530000,130000,76000,2d 07:33:20
석탄 생산량IV-0,0,0,0,0,0,0
석탄 생산량IV-1,1200000,1200000,240000,62000,16000,0d 11:06:40
석탄 생산량IV-2,1700000,1700000,340000,86000,22000,0d 16:40:00
석탄 생산량IV-3,3700000,3700000,740000,180000,48000,1d 20:26:40
목재 생산량V-0,0,0,0,0,0,0
목재 생산량V-1,880000,880000,170000,44000,25000,0d 13:53:20
목재 생산량V-2,1200000,1200000,240000,61000,35000,0d 20:50:00
목재 생산량V-3,2600000,2600000,530000,130000,76000,2d 07:33:20
철광 생산량IV-0,0,0,0,0,0,0
철광 생산량IV-1,1200000,1200000,240000,62000,16000,0d 11:06:40
철광 생산량IV-2,1700000,1700000,340000,86000,22000,0d 16:40:00
철광 생산량IV-3,3700000,3700000,740000,180000,48000,1d 20:26:40
식량채집V-0,0,0,0,0,0,0
식량채집V-1,660000,660000,130000,33000,19000,0d 13:53:20
식량채집V-2,920000,920000,180000,46000,26000,0d 20:50:00
식량채집V-3,1900000,1900000,390000,99000,57000,2d 07:33:20
석탄채집IV-0,0,0,0,0,0,0
석탄채집IV-1,930000,930000,180000,46000,12000,0d 07:46:40
석탄채집IV-2,1300000,1300000,260000,65000,16000,0d 11:40:00
석탄채집IV-3,2700000,2700000,550000,130000,36000,1d 07:06:40
목재채집V-0,0,0,0,0,0,0
목재채집V-1,660000,660000,130000,33000,19000,0d 13:53:20
목재채집V-2,920000,920000,180000,46000,26000,0d 20:50:00
목재채집V-3,1900000,1900000,390000,99000,57000,2d 07:33:20
철광채집IV-0,0,0,0,0,0,0
철광채집IV-1,930000,930000,180000,46000,12000,0d 07:46:40
철광채집IV-2,1300000,1300000,260000,65000,16000,0d 11:40:00
철광채집IV-3,2700000,2700000,550000,130000,36000,1d 07:06:40
생고기 생산량VI-0,0,0,0,0,0,0
생고기 생산량VI-1,2300000,2300000,460000,110000,38000,2d 18:40:00
생고기 생산량VI-2,3200000,3200000,650000,160000,53000,4d 04:00:00
생고기 생산량VI-3,6900000,6900000,1300000,340000,110000,11d 02:40:00
석탄 생산량V-0,0,0,0,0,0,0
석탄 생산량V-1,2200000,2200000,440000,110000,64000,2d 21:26:40
석탄 생산량V-2,3000000,3000000,610000,150000,89000,4d 08:10:00
석탄 생산량V-3,6600000,6600000,1300000,330000,190000,11d 13:46:40
목재 생산량VI-0,0,0,0,0,0,0
목재 생산량VI-1,2300000,2300000,460000,110000,38000,2d 18:40:00
목재 생산량VI-2,3200000,3200000,650000,160000,53000,4d 04:00:00
목재 생산량VI-3,6900000,6900000,1300000,340000,110000,11d 02:40:00
철광 생산량V-0,0,0,0,0,0,0
철광 생산량V-1,2200000,2200000,440000,110000,64000,2d 21:26:40
철광 생산량V-2,3000000,3000000,610000,150000,89000,4d 08:10:00
철광 생산량V-3,6600000,6600000,1300000,330000,190000,11d 13:46:40
식량채집VI-0,0,0,0,0,0,0
식량채집VI-1,2300000,2300000,460000,110000,38000,2d 18:40:00
식량채집VI-2,3200000,3200000,650000,160000,53000,4d 04:00:00
식량채집VI-3,6900000,6900000,1300000,340000,110000,11d 02:40:00
석탄채집V-0,0,0,0,0,0,0
석탄채집V-1,1600000,1600000,330000,83000,48000,2d 00:36:40
석탄채집V-2,2300000,2300000,460000,110000,67000,3d 00:55:00
석탄채집V-3,4900000,4900000,990000,240000,140000,8d 02:26:40
목재채집VI-0,0,0,0,0,0,0
목재채집VI-1,2300000,2300000,460000,110000,38000,2d 18:40:00
목재채집VI-2,3200000,3200000,650000,160000,53000,4d 04:00:00
목재채집VI-3,6900000,6900000,1300000,340000,110000,11d 02:40:00
철광채집V-0,0,0,0,0,0,0
철광채집V-1,1600000,1600000,330000,83000,48000,2d 00:36:40
철광채집V-2,2300000,2300000,460000,110000,67000,3d 00:55:00
철광채집V-3,4900000,4900000,990000,240000,140000,8d 02:26:40
